nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,frame_no,frame_width,frame_height
387.31,459.8892,395.36227,445.60095,378.61224,451.36328,423.53482,438.52985,0.0,0.0,484.0937,470.43945,376.57306,496.68933,528.9151,500.3661,344.59836,527.7232,490.6192,514.4892,352.67795,498.93954,538.0737,583.1546,456.7037,594.93604,594.2197,656.9336,415.96588,663.85876,665.5668,758.06384,428.6068,752.95917,0,720,1280
156.5108,250.8006,0.0,0.0,153.8612,233.08002,0.0,0.0,113.35257,229.76208,98.493484,315.65027,56.18428,320.5468,97.616745,468.80597,90.24017,465.54364,126.39015,484.21356,159.9914,409.76627,89.6074,535.28723,46.29207,545.41705,176.4115,702.3177,54.81967,734.2163,147.71722,849.0175,0.0,910.1072,0,720,1280
589.54675,431.43793,594.21783,426.77026,585.80414,427.09418,603.61456,428.39267,580.8907,430.11246,617.18494,452.6353,575.0802,454.48032,629.88837,480.72034,567.9706,482.78787,620.6198,496.9898,573.5864,497.93698,608.2492,514.24854,581.1023,514.65576,607.23895,560.7756,579.8607,560.60223,604.97614,596.5694,582.4142,596.38477,0,720,1280
403.9594,459.48163,411.19,445.1195,395.21967,450.54965,437.16187,437.59485,0.0,0.0,501.16907,473.2093,390.7844,495.34262,544.4314,507.66675,353.9375,527.88837,492.24567,509.2437,358.9123,506.1548,547.19305,593.01746,464.714,601.33374,600.1632,665.861,423.65778,666.07556,668.11163,767.6275,430.03342,754.1387,1,720,1280
159.43881,235.5412,0.0,0.0,157.20319,217.48895,0.0,0.0,114.95276,213.19998,91.72989,296.95044,59.607147,301.9824,97.23866,452.1795,91.92229,449.49268,136.47491,452.73325,155.58897,388.3636,89.429665,518.76373,50.974846,528.9434,181.71753,684.3983,55.36892,714.68713,168.73744,841.9355,0.0,898.09625,1,720,1280
589.50757,429.44595,594.13715,425.64023,586.62305,425.9033,603.3506,428.92444,0.0,0.0,616.0649,453.05167,578.62604,456.52756,629.68823,478.60776,571.8072,488.11716,616.31683,489.89313,573.5699,507.96216,607.6734,515.7567,584.0303,516.62274,609.44,555.30676,585.1389,555.82263,608.38184,593.0294,591.9296,592.89014,1,720,1280
421.09317,456.99707,430.0598,443.23108,412.08334,447.4397,457.4491,436.63278,0.0,0.0,518.879,472.86667,406.4155,493.48703,556.25476,510.81628,372.3792,534.42847,487.1065,494.65164,357.8597,519.6987,556.8961,599.6325,472.40094,604.91394,602.81726,670.3241,424.9851,665.6611,662.7693,770.5209,430.6263,755.5365,2,720,1280
163.6524,221.25186,0.0,0.0,163.46204,202.3772,0.0,0.0,123.50479,193.1614,92.015045,274.12106,59.095184,281.15613,93.82269,435.61578,79.26673,436.06583,140.1794,439.21545,160.43994,376.25253,91.3133,508.53958,52.43966,522.0148,188.43365,672.96643,55.70333,714.05444,178.7668,835.03265,0.0,909.63446,2,720,1280
590.85077,429.07736,595.31525,425.3951,588.09766,425.7304,604.16003,428.6464,0.0,0.0,616.84424,451.7211,579.82947,455.26282,631.2316,475.20822,573.4735,483.48413,618.49884,483.56244,576.44855,495.8722,608.5365,511.4708,585.30756,512.5018,609.23395,549.3717,587.0612,550.18805,607.87854,586.63525,594.2493,586.9672,2,720,1280
439.31577,453.05234,448.02008,439.68365,430.88028,444.1831,476.40698,435.04276,0.0,0.0,535.3724,473.7613,429.5646,490.50797,562.26135,507.21097,390.225,523.4063,488.9162,491.75336,363.2704,529.68884,565.6418,604.22095,484.70477,606.39,606.9407,677.3556,434.90927,666.92725,669.497,780.22955,435.59216,758.4165,3,720,1280
